Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey"
Bachelor of Arts,Faculty of Arts & Social Sciences,0.738,"$2,763","$2,700","$2,405","$3,000",NUS,2011,No,NUS GES 2011,Bachelor of Arts | NUS 2011
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.873,"$3,151","$3,200","$2,800","$3,500",NUS,2011,No,NUS GES 2011,Bachelor of Arts (Hons) | NUS 2011
Bachelor of Social Sciences (Hons),Faculty of Arts & Social Sciences,0.849,"$3,088","$3,000","$2,700","$3,350",NUS,2011,No,NUS GES 2011,Bachelor of Social Sciences (Hons) | NUS 2011
Bachelor of Dental Surgery,Faculty of Dentistry,1.000,"$3,136","$3,000","$3,000","$3,400",NUS,2011,No,NUS GES 2011,Bachelor of Dental Surgery | NUS 2011
Bachelor of Engineering (Bioengineering),Faculty of Engineering,0.795,"$3,334","$3,250","$2,900","$3,800",NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Bioengineering) | NUS 2011
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.839,"$3,266","$3,184","$3,000","$3,515",NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Chemical Engineering) | NUS 2011
Bachelor of Engineering (Civil Engineering),Faculty of Engineering,1.000,"$3,126","$3,000","$2,900","$3,200",NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Civil Engineering) | NUS 2011
Bachelor of Engineering (Computer Engineering),Faculty of Engineering,0.951,"$3,367","$3,000","$2,900","$3,980",NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Computer Engineering) | NUS 2011
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.884,"$3,327","$3,100","$2,900","$3,600",NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Electrical Engineering) | NUS 2011
Bachelor of Engineering (Engineering Science),Faculty of Engineering,0.783,"$3,203","$3,170","$2,950","$3,250",NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Engineering Science) | NUS 2011
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.884,"$3,215","$3,000","$2,800","$3,300",NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Environmental Engineering) | NUS 2011
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.911,"$3,539","$3,500","$2,900","$3,950",NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2011
